Year,Month,Week,Country,Region,Student_Count,Gender,Degree_Type,Course,Interest_Area
2021,September,38,Australia,Europe,158,Female,Undergraduate,Business,Employment
2022,October,40,Australia,North America,98,Male,PhD,Business,Employment
2021,March,09,UK,North America,71,Male,Postgraduate,Business,Entrepreneurship
2022,May,21,India,North America,303,Female,Postgraduate,Arts,Employment
2022,November,48,India,Asia,239,Female,PhD,Engineering,Employment
2022,October,42,USA,Asia,423,Other,Undergraduate,Science,Entrepreneurship
2023,May,20,Australia,North America,222,Female,Undergraduate,Business,Employment
2022,July,27,USA,Oceania,414,Male,Postgraduate,Business,Research
2023,September,36,USA,Oceania,86,Male,Undergraduate,Medicine,Entrepreneurship
2023,May,20,India,Oceania,240,Female,PhD,Business,Employment
2022,January,02,India,North America,115,Female,PhD,Engineering,Entrepreneurship
2023,August,33,Australia,North America,331,Male,Postgraduate,Arts,Entrepreneurship
2022,March,12,India,North America,107,Other,Postgraduate,Arts,Research
2022,January,01,Australia,North America,459,Male,Postgraduate,Medicine,Research
2021,August,34,Canada,Asia,161,Male,PhD,Business,Entrepreneurship
2021,July,30,USA,Asia,230,Male,Postgraduate,Business,Entrepreneurship
2023,July,28,India,Oceania,297,Male,PhD,Business,Research
2022,May,19,India,Asia,78,Other,Postgraduate,Medicine,Employment
2022,June,25,Canada,Europe,290,Female,PhD,Business,Research
2022,February,09,USA,Asia,278,Female,PhD,Science,Entrepreneurship
2021,August,34,USA,Asia,430,Other,PhD,Medicine,Employment
2023,November,48,Australia,North America,467,Female,Postgraduate,Business,Employment
2022,January,04,India,Oceania,379,Female,Undergraduate,Business,Research
2022,August,32,UK,Oceania,304,Other,Undergraduate,Medicine,Entrepreneurship
2021,March,10,UK,Asia,486,Male,Undergraduate,Medicine,Employment
2021,November,47,UK,North America,466,Female,PhD,Science,Employment
2023,July,30,UK,North America,175,Female,PhD,Medicine,Research
2021,February,05,USA,Oceania,499,Male,Postgraduate,Business,Research
2021,April,16,Australia,Oceania,378,Female,PhD,Medicine,Research
2023,January,02,India,Oceania,159,Male,Undergraduate,Arts,Research
2021,November,48,Australia,Europe,308,Female,PhD,Arts,Research
2021,January,01,Canada,Europe,359,Female,PhD,Science,Employment
2021,June,22,USA,Oceania,470,Female,Postgraduate,Engineering,Employment
2022,April,15,USA,Europe,384,Female,PhD,Engineering,Entrepreneurship
2023,July,28,USA,Asia,309,Other,Postgraduate,Science,Research
2021,December,51,Australia,North America,263,Male,Postgraduate,Science,Research
2023,March,11,India,Oceania,107,Male,PhD,Arts,Employment
2023,November,46,Australia,Europe,129,Male,Undergraduate,Business,Research
2023,November,45,India,Oceania,246,Male,Undergraduate,Business,Entrepreneurship
2022,May,20,USA,Europe,230,Other,Postgraduate,Science,Employment
2023,January,02,UK,Oceania,88,Female,Undergraduate,Arts,Research
2021,May,21,India,Oceania,410,Other,Undergraduate,Arts,Employment
2023,January,05,Canada,Asia,251,Other,Undergraduate,Arts,Research
2021,April,16,Australia,Europe,264,Female,PhD,Medicine,Employment
2022,March,12,Canada,North America,287,Other,PhD,Engineering,Research
2022,March,10,India,Oceania,363,Female,Postgraduate,Arts,Research
2021,March,13,UK,Europe,288,Other,PhD,Science,Employment
2021,October,40,UK,Oceania,491,Male,Postgraduate,Business,Employment
2022,November,45,USA,Asia,330,Male,PhD,Arts,Employment
2021,August,33,UK,Oceania,485,Female,Undergraduate,Business,Entrepreneurship
2023,May,21,UK,North America,201,Male,Postgraduate,Science,Employment
2021,August,31,USA,North America,402,Other,Postgraduate,Business,Entrepreneurship
2021,July,27,Australia,Asia,195,Female,Postgraduate,Business,Employment
2023,December,51,USA,Asia,259,Other,Undergraduate,Engineering,Research
2023,June,25,UK,Oceania,307,Male,Undergraduate,Medicine,Entrepreneurship
2022,January,01,Australia,North America,286,Female,Postgraduate,Engineering,Research
2022,October,43,USA,Oceania,347,Other,Postgraduate,Engineering,Entrepreneurship
2021,June,22,Canada,Europe,258,Male,Postgraduate,Business,Employment
2023,October,44,USA,Oceania,372,Female,Postgraduate,Engineering,Employment
2023,March,12,India,Europe,263,Other,Postgraduate,Medicine,Employment
2021,June,25,India,North America,491,Male,PhD,Science,Entrepreneurship
2023,July,27,UK,Europe,185,Other,Postgraduate,Business,Entrepreneurship
2023,July,28,Canada,Asia,385,Female,PhD,Engineering,Entrepreneurship
2022,November,47,Canada,Oceania,299,Male,Postgraduate,Medicine,Entrepreneurship
2021,March,12,Australia,Oceania,275,Male,Undergraduate,Science,Research
2021,June,26,Canada,Europe,488,Other,Undergraduate,Business,Research
2021,July,30,Australia,Asia,132,Female,Undergraduate,Science,Employment
2022,March,10,USA,Europe,319,Other,PhD,Science,Employment
2022,August,31,Canada,Europe,190,Other,PhD,Arts,Entrepreneurship
2022,July,27,India,Asia,219,Female,Undergraduate,Business,Employment
2021,February,08,Canada,Europe,233,Female,PhD,Engineering,Research
2022,November,48,Australia,Asia,335,Female,Undergraduate,Business,Research
2023,February,08,India,Europe,247,Other,Undergraduate,Business,Entrepreneurship
2021,December,49,India,Oceania,325,Male,Postgraduate,Arts,Employment
2022,November,46,Canada,Oceania,83,Other,Postgraduate,Science,Research
2021,April,16,UK,Europe,353,Male,Postgraduate,Medicine,Employment
2023,October,44,Canada,Asia,156,Male,PhD,Engineering,Research
2022,September,38,Canada,North America,319,Female,Undergraduate,Medicine,Entrepreneurship
2022,September,35,UK,Oceania,150,Other,Postgraduate,Engineering,Employment
2023,October,42,Canada,North America,131,Other,PhD,Arts,Employment
2023,October,40,USA,Asia,252,Male,Postgraduate,Science,Entrepreneurship
2022,June,25,USA,North America,72,Male,PhD,Arts,Employment
2023,June,25,UK,Asia,126,Male,PhD,Engineering,Employment
2021,October,39,UK,North America,432,Female,PhD,Medicine,Entrepreneurship
2023,October,43,Canada,Europe,70,Male,Postgraduate,Medicine,Research
2021,June,25,USA,Europe,177,Male,Undergraduate,Business,Entrepreneurship
2021,May,19,UK,Asia,67,Other,Postgraduate,Medicine,Research
2021,May,20,UK,Oceania,234,Female,PhD,Science,Employment
2021,September,37,UK,Asia,181,Other,PhD,Medicine,Research
2022,January,01,UK,Europe,208,Other,Undergraduate,Medicine,Research
2021,August,31,India,Oceania,62,Female,PhD,Science,Research
2022,October,43,Australia,Asia,496,Male,PhD,Science,Research
2021,February,07,USA,North America,319,Other,Postgraduate,Engineering,Employment
2022,September,35,Australia,Europe,377,Other,Postgraduate,Medicine,Research
2021,December,50,Canada,North America,287,Male,Undergraduate,Business,Employment
2021,October,40,Australia,Oceania,390,Male,Undergraduate,Engineering,Research
2021,July,27,USA,Europe,253,Other,Undergraduate,Arts,Research
2021,January,03,USA,Asia,479,Male,Postgraduate,Medicine,Employment
2021,November,48,USA,North America,282,Female,Undergraduate,Business,Employment
2022,October,44,USA,Europe,187,Female,PhD,Medicine,Research
2023,September,38,Canada,Asia,312,Male,Undergraduate,Business,Research
2022,October,41,Australia,Oceania,486,Female,PhD,Medicine,Research
2022,November,44,Australia,Asia,482,Other,Undergraduate,Engineering,Employment
2022,May,20,UK,Asia,362,Other,Undergraduate,Engineering,Employment
2022,January,04,UK,North America,453,Other,Undergraduate,Engineering,Entrepreneurship
2021,February,05,UK,Europe,498,Female,PhD,Business,Employment
2023,April,16,Canada,North America,368,Other,PhD,Business,Research
2023,March,11,India,Oceania,78,Male,PhD,Engineering,Employment
2023,January,02,Australia,Asia,264,Female,Undergraduate,Business,Entrepreneurship
2021,October,42,Australia,Oceania,395,Other,Postgraduate,Science,Employment
2022,November,48,UK,North America,326,Other,Postgraduate,Science,Research
2022,December,49,USA,Asia,472,Female,PhD,Science,Entrepreneurship
2022,April,16,India,Oceania,67,Male,Undergraduate,Arts,Research
2022,September,38,India,Asia,209,Female,Postgraduate,Medicine,Employment
2023,December,52,USA,Oceania,116,Female,Postgraduate,Medicine,Research
2021,June,24,UK,Oceania,223,Female,Postgraduate,Science,Research
2023,December,49,Australia,North America,375,Male,PhD,Science,Research
2023,September,35,USA,North America,300,Male,PhD,Business,Research
2023,July,27,USA,Europe,163,Male,Undergraduate,Engineering,Employment
2021,July,29,Canada,North America,417,Other,Undergraduate,Medicine,Research
2023,April,17,UK,North America,169,Other,PhD,Science,Entrepreneurship
2023,February,05,USA,Europe,355,Male,Postgraduate,Medicine,Employment
2021,March,13,India,Oceania,210,Other,Undergraduate,Engineering,Entrepreneurship
2023,November,48,Australia,Europe,322,Other,PhD,Engineering,Research
2023,May,20,Canada,Asia,75,Other,PhD,Arts,Entrepreneurship
2023,December,52,India,North America,337,Female,PhD,Business,Research
2023,December,50,Canada,Europe,408,Male,PhD,Business,Employment
2021,October,43,UK,Asia,179,Female,PhD,Arts,Employment
2022,April,15,Australia,Oceania,336,Male,Undergraduate,Business,Research
2022,November,47,Canada,Europe,118,Female,PhD,Engineering,Employment
2021,June,25,Australia,Oceania,75,Female,PhD,Medicine,Research
2021,May,19,India,Asia,165,Female,Undergraduate,Science,Employment
2021,May,19,India,Europe,116,Female,Postgraduate,Business,Entrepreneurship
2023,January,03,USA,North America,123,Other,PhD,Science,Employment
2023,August,33,USA,North America,381,Male,PhD,Medicine,Employment
2023,December,51,USA,North America,60,Other,Postgraduate,Arts,Entrepreneurship
2022,May,18,USA,Europe,126,Male,PhD,Engineering,Employment
2021,September,37,UK,Asia,333,Other,Postgraduate,Medicine,Research
2023,September,37,UK,North America,399,Male,PhD,Medicine,Research
2021,September,35,UK,Asia,73,Male,Undergraduate,Medicine,Employment
2023,September,36,Australia,Oceania,371,Male,Undergraduate,Engineering,Employment
2022,October,41,Australia,Europe,487,Other,PhD,Medicine,Research
2023,February,07,UK,Europe,95,Other,Postgraduate,Science,Entrepreneurship
2023,October,40,USA,North America,280,Other,Undergraduate,Engineering,Employment
2023,April,13,USA,North America,172,Other,Undergraduate,Medicine,Entrepreneurship
2021,November,46,UK,Asia,309,Female,Postgraduate,Engineering,Employment
2021,June,24,India,North America,273,Female,Postgraduate,Medicine,Entrepreneurship
2022,March,12,UK,North America,123,Male,PhD,Medicine,Employment
2021,November,47,Australia,Oceania,228,Other,Undergraduate,Medicine,Employment
2023,July,27,Australia,Oceania,469,Other,PhD,Arts,Entrepreneurship
2023,June,23,Canada,Asia,67,Other,Undergraduate,Science,Research
2021,February,08,UK,Asia,469,Male,Undergraduate,Business,Employment
2022,February,06,UK,Oceania,211,Female,Undergraduate,Engineering,Research
2022,October,40,UK,Europe,376,Male,PhD,Medicine,Employment
2022,April,17,UK,North America,411,Female,Undergraduate,Business,Research
2021,August,31,Australia,Oceania,53,Other,Postgraduate,Medicine,Research
2022,December,48,USA,Europe,441,Other,PhD,Medicine,Entrepreneurship
2021,September,39,India,Asia,256,Male,PhD,Business,Research
2023,January,03,UK,Asia,84,Other,Postgraduate,Medicine,Employment
2023,March,13,Canada,Asia,204,Other,Undergraduate,Science,Entrepreneurship
2023,September,38,UK,North America,456,Male,PhD,Arts,Entrepreneurship
2023,April,14,UK,North America,96,Female,PhD,Business,Entrepreneurship
2022,April,17,Canada,North America,66,Female,Postgraduate,Engineering,Entrepreneurship
2022,February,08,Canada,Oceania,132,Male,Postgraduate,Business,Employment
2021,March,10,Australia,North America,211,Female,Postgraduate,Business,Research
2022,December,49,India,Oceania,453,Female,Undergraduate,Arts,Entrepreneurship
2021,December,52,USA,Oceania,494,Other,Undergraduate,Arts,Entrepreneurship
2021,May,19,Australia,Oceania,201,Female,PhD,Business,Entrepreneurship
2022,July,28,Canada,Asia,441,Male,PhD,Science,Employment
2023,October,42,Australia,Europe,456,Female,Undergraduate,Engineering,Research
2023,October,43,India,Europe,280,Female,Undergraduate,Medicine,Employment
2021,January,04,UK,North America,420,Other,Undergraduate,Medicine,Entrepreneurship
2022,June,24,India,North America,488,Male,Undergraduate,Medicine,Entrepreneurship
2021,October,41,UK,North America,129,Male,Undergraduate,Engineering,Research
2022,December,50,UK,North America,209,Other,Undergraduate,Business,Entrepreneurship
2022,September,39,Canada,Asia,255,Other,Postgraduate,Science,Entrepreneurship
2023,April,15,Australia,Asia,420,Male,PhD,Business,Entrepreneurship
2023,March,12,India,North America,291,Female,PhD,Medicine,Employment
2021,April,15,Canada,Asia,241,Male,Undergraduate,Arts,Entrepreneurship
2023,February,05,Canada,North America,124,Male,Undergraduate,Engineering,Research
2021,May,21,Canada,Oceania,311,Other,PhD,Business,Employment
2021,August,31,India,North America,220,Female,PhD,Arts,Entrepreneurship
2023,November,45,USA,Asia,125,Male,Postgraduate,Business,Entrepreneurship
2023,October,42,Canada,North America,71,Other,Postgraduate,Engineering,Employment
2022,January,03,UK,Europe,489,Other,PhD,Medicine,Entrepreneurship
2021,October,39,Australia,North America,474,Male,PhD,Science,Employment
2022,November,46,UK,Oceania,363,Male,Undergraduate,Engineering,Research
2022,November,45,UK,Europe,184,Male,Postgraduate,Business,Research
2021,November,47,Australia,Asia,353,Male,Undergraduate,Business,Entrepreneurship
2023,August,31,Australia,North America,287,Female,PhD,Business,Employment
2021,March,09,India,North America,297,Other,Postgraduate,Arts,Entrepreneurship
2023,February,07,USA,Europe,337,Female,Undergraduate,Business,Research
2021,July,30,Australia,Europe,321,Other,Postgraduate,Science,Entrepreneurship
2021,October,41,USA,Oceania,406,Other,Postgraduate,Engineering,Research
2022,December,51,India,Oceania,154,Female,Undergraduate,Business,Employment
2021,August,31,Australia,Asia,404,Female,Undergraduate,Business,Entrepreneurship
2021,February,06,Australia,Europe,318,Male,Postgraduate,Science,Entrepreneurship
2023,March,12,Canada,Europe,339,Male,PhD,Science,Employment
2023,March,11,Australia,North America,242,Other,Postgraduate,Medicine,Research
2022,October,43,UK,Europe,77,Other,Undergraduate,Arts,Research
2021,April,14,UK,Oceania,306,Other,PhD,Business,Entrepreneurship
2021,May,20,Canada,Asia,181,Female,PhD,Science,Employment
2023,August,31,Australia,Europe,190,Other,Undergraduate,Science,Research
2021,February,06,USA,Oceania,175,Other,PhD,Business,Research
2023,October,44,Canada,Europe,67,Female,Postgraduate,Business,Research
2023,March,11,UK,Europe,88,Male,Undergraduate,Science,Research
2023,June,23,Australia,Europe,442,Other,Undergraduate,Medicine,Employment
2021,September,39,India,Oceania,82,Male,PhD,Arts,Research
2022,January,04,UK,Asia,426,Male,PhD,Business,Research
2021,March,13,Canada,Europe,67,Male,PhD,Medicine,Research
2023,November,45,India,Oceania,248,Other,Undergraduate,Science,Entrepreneurship
2021,March,12,Australia,North America,314,Female,Postgraduate,Science,Research
2022,December,50,USA,North America,233,Other,Postgraduate,Science,Research
2021,March,10,India,Europe,228,Female,Undergraduate,Science,Research
2022,April,15,UK,Asia,376,Other,Postgraduate,Arts,Employment
2021,February,05,Canada,Oceania,253,Male,Postgraduate,Business,Entrepreneurship
2021,February,05,UK,Europe,206,Male,Undergraduate,Medicine,Entrepreneurship
2023,April,14,USA,Oceania,286,Female,PhD,Engineering,Research
2022,January,04,Australia,Asia,243,Other,Postgraduate,Business,Entrepreneurship
2021,November,44,UK,North America,362,Other,Postgraduate,Engineering,Employment
2021,January,00,Canada,Oceania,131,Other,PhD,Science,Research
2022,October,40,UK,Asia,278,Other,Undergraduate,Science,Employment
2022,April,17,India,North America,334,Female,PhD,Engineering,Employment
2021,April,16,India,Asia,484,Other,PhD,Business,Employment
2021,June,23,Canada,North America,66,Male,Postgraduate,Engineering,Employment
2022,May,20,Canada,Europe,69,Female,Postgraduate,Medicine,Entrepreneurship
2021,December,50,India,Oceania,352,Other,PhD,Medicine,Entrepreneurship
2023,June,25,India,Europe,107,Other,Postgraduate,Business,Research
2023,February,09,India,Oceania,282,Male,Undergraduate,Business,Research
2023,March,11,India,Europe,64,Male,Postgraduate,Medicine,Employment
2022,December,50,Australia,Europe,152,Male,Undergraduate,Medicine,Employment
2022,February,08,India,North America,209,Male,Postgraduate,Engineering,Entrepreneurship
2023,June,25,USA,Europe,407,Female,Undergraduate,Business,Employment
2023,March,12,India,Oceania,122,Male,Undergraduate,Arts,Research
2022,June,26,UK,Asia,249,Male,Postgraduate,Medicine,Employment
2021,February,07,UK,Europe,128,Female,Undergraduate,Science,Employment
2023,June,23,Australia,North America,419,Female,Postgraduate,Engineering,Entrepreneurship
2021,May,18,UK,North America,368,Male,PhD,Engineering,Entrepreneurship
2021,April,17,Canada,Asia,80,Female,Undergraduate,Arts,Entrepreneurship
2023,February,09,USA,North America,143,Male,PhD,Medicine,Employment
2022,October,43,India,North America,147,Other,Undergraduate,Engineering,Research
2022,June,23,Canada,Asia,247,Other,PhD,Engineering,Research
2021,July,30,Australia,North America,435,Other,Postgraduate,Engineering,Research
2023,June,26,USA,Oceania,466,Male,PhD,Engineering,Employment
2022,May,19,India,Europe,316,Female,PhD,Science,Research
2022,September,38,UK,Asia,56,Male,PhD,Medicine,Entrepreneurship
2023,March,09,Australia,North America,298,Male,Undergraduate,Medicine,Research
2022,April,17,UK,North America,325,Female,Undergraduate,Medicine,Research
2022,March,09,Canada,Asia,377,Other,Undergraduate,Arts,Entrepreneurship
2022,February,08,USA,North America,143,Female,PhD,Business,Research
2022,August,31,Canada,North America,328,Female,Postgraduate,Arts,Employment
2021,October,43,India,Asia,179,Male,PhD,Science,Research
2021,May,19,Australia,Asia,55,Male,Postgraduate,Medicine,Employment
2022,August,32,India,Oceania,194,Female,Postgraduate,Medicine,Research
2021,January,03,Canada,North America,199,Female,PhD,Business,Employment
2023,August,34,UK,North America,138,Other,Undergraduate,Business,Employment
2023,January,05,India,North America,360,Female,Postgraduate,Medicine,Entrepreneurship
2022,September,38,USA,North America,88,Female,Undergraduate,Science,Employment
2021,May,19,USA,North America,148,Female,Undergraduate,Science,Entrepreneurship
2021,February,08,Australia,North America,133,Male,PhD,Arts,Entrepreneurship
2023,March,10,USA,Oceania,408,Other,PhD,Medicine,Research
2021,June,22,Canada,Asia,446,Other,PhD,Medicine,Entrepreneurship
2022,February,07,India,North America,205,Female,Postgraduate,Business,Employment
2021,November,47,UK,Oceania,372,Female,Postgraduate,Science,Research
2023,March,13,Australia,Oceania,263,Male,Postgraduate,Arts,Employment
2022,December,50,USA,Europe,443,Other,Postgraduate,Medicine,Entrepreneurship
2023,May,18,Australia,Europe,494,Female,PhD,Engineering,Entrepreneurship
2023,February,08,USA,Oceania,487,Male,Postgraduate,Business,Entrepreneurship
2023,December,49,UK,Europe,460,Other,Postgraduate,Science,Employment
2023,September,39,USA,North America,129,Male,PhD,Business,Research
2022,March,13,Australia,Europe,202,Female,PhD,Engineering,Employment
2022,September,36,Canada,Europe,137,Male,Postgraduate,Science,Employment
2023,November,47,USA,North America,183,Male,Undergraduate,Business,Research
2022,January,05,Canada,North America,59,Other,Postgraduate,Arts,Employment
2021,March,09,UK,Asia,350,Other,Postgraduate,Arts,Employment
2022,November,48,UK,Europe,101,Other,Undergraduate,Arts,Research
2022,February,05,Canada,Oceania,437,Other,PhD,Arts,Research
2022,April,13,Australia,Oceania,283,Other,Undergraduate,Engineering,Entrepreneurship
2021,November,45,Canada,Oceania,456,Male,Undergraduate,Medicine,Employment
2023,May,22,Canada,Oceania,186,Female,PhD,Engineering,Research
2022,June,22,India,Europe,470,Other,Postgraduate,Arts,Entrepreneurship
2021,February,07,USA,Europe,74,Other,Undergraduate,Engineering,Research
2023,February,07,India,Asia,225,Female,Undergraduate,Engineering,Employment
2022,July,28,Australia,Asia,462,Female,Postgraduate,Business,Entrepreneurship
2021,September,35,UK,Oceania,241,Other,PhD,Medicine,Entrepreneurship
2022,January,04,Australia,Europe,461,Male,Undergraduate,Business,Entrepreneurship
2022,January,04,India,Asia,231,Female,PhD,Arts,Entrepreneurship
2022,June,26,India,Oceania,342,Female,Postgraduate,Science,Entrepreneurship
2022,September,37,USA,Asia,80,Male,Postgraduate,Science,Research
2023,May,21,USA,Europe,437,Other,Postgraduate,Science,Entrepreneurship
2021,July,28,India,North America,294,Male,PhD,Arts,Employment
2021,July,29,USA,Oceania,454,Other,Undergraduate,Business,Entrepreneurship
2021,January,01,India,North America,213,Female,Postgraduate,Medicine,Employment
2021,August,32,Australia,Europe,206,Other,Postgraduate,Medicine,Entrepreneurship
2022,September,37,India,North America,84,Male,Postgraduate,Medicine,Research
2023,March,12,USA,North America,336,Male,Undergraduate,Science,Employment
2023,March,12,UK,North America,191,Male,Undergraduate,Medicine,Employment
2022,October,43,UK,Asia,498,Other,PhD,Engineering,Entrepreneurship
2022,October,42,UK,Europe,261,Female,Postgraduate,Medicine,Entrepreneurship
2022,July,29,USA,Europe,357,Male,Undergraduate,Arts,Entrepreneurship
2023,August,35,USA,Asia,242,Female,PhD,Medicine,Entrepreneurship
2021,January,02,USA,North America,330,Male,PhD,Engineering,Entrepreneurship
2023,December,52,USA,Asia,70,Female,PhD,Medicine,Research
2022,August,35,Australia,Europe,379,Male,PhD,Engineering,Research
2023,March,10,UK,Asia,243,Other,Undergraduate,Medicine,Research
2022,November,47,Australia,Oceania,335,Female,PhD,Business,Entrepreneurship
2021,May,18,Canada,Asia,404,Male,PhD,Science,Employment
2021,February,07,UK,North America,213,Male,Postgraduate,Science,Entrepreneurship
2022,July,28,USA,North America,112,Male,Undergraduate,Arts,Entrepreneurship
2021,July,29,Canada,Asia,84,Male,Postgraduate,Business,Research
2022,September,35,Australia,Asia,462,Other,PhD,Arts,Research
2023,October,41,India,Asia,321,Other,Undergraduate,Arts,Research
2023,September,38,USA,North America,144,Other,PhD,Engineering,Entrepreneurship
2023,August,34,UK,Asia,281,Other,Postgraduate,Science,Entrepreneurship
2023,April,16,Canada,Oceania,425,Female,PhD,Engineering,Research
2023,June,25,UK,Europe,314,Female,Postgraduate,Science,Entrepreneurship
2022,February,06,India,Europe,236,Male,Postgraduate,Medicine,Research
2021,April,16,USA,Asia,402,Female,Postgraduate,Business,Employment
2023,May,21,UK,Europe,138,Male,Postgraduate,Business,Entrepreneurship
2022,March,12,Australia,Oceania,489,Female,Undergraduate,Arts,Entrepreneurship
2022,February,08,India,Asia,416,Female,PhD,Arts,Research
2023,June,23,Canada,Europe,339,Male,Postgraduate,Engineering,Entrepreneurship
2023,March,12,USA,Oceania,481,Other,PhD,Science,Research
2022,December,50,Australia,Oceania,92,Other,Undergraduate,Medicine,Employment
2023,January,03,India,Oceania,342,Other,PhD,Arts,Entrepreneurship
2021,September,38,Canada,Oceania,50,Other,Undergraduate,Engineering,Entrepreneurship
2023,November,48,UK,Europe,66,Other,PhD,Science,Research
2021,November,48,Canada,Europe,108,Other,Undergraduate,Engineering,Research
2023,November,46,UK,Europe,428,Female,Postgraduate,Science,Research
2022,March,11,Australia,North America,368,Male,Undergraduate,Arts,Research
2023,November,45,UK,North America,303,Male,Postgraduate,Engineering,Entrepreneurship
2023,November,45,Australia,Europe,209,Other,Undergraduate,Medicine,Entrepreneurship
2023,November,44,India,Asia,388,Male,Undergraduate,Engineering,Entrepreneurship
2022,December,49,India,Oceania,495,Other,PhD,Science,Research
2022,November,45,Canada,Oceania,344,Other,Postgraduate,Arts,Entrepreneurship
2021,February,05,Australia,Asia,327,Female,Undergraduate,Business,Employment
2021,October,42,USA,Asia,225,Male,PhD,Engineering,Research
2021,January,01,USA,Europe,213,Female,Postgraduate,Arts,Entrepreneurship
2022,May,20,Canada,Europe,149,Male,Undergraduate,Business,Employment
2022,June,22,Canada,Oceania,349,Male,Postgraduate,Science,Research
2022,July,30,Canada,North America,309,Female,Postgraduate,Engineering,Research
2021,May,19,Australia,North America,451,Female,Undergraduate,Engineering,Research
2023,December,51,UK,Asia,115,Other,Postgraduate,Engineering,Employment
2021,December,49,UK,Asia,312,Other,Postgraduate,Science,Research
2023,February,07,Australia,North America,120,Other,Postgraduate,Engineering,Employment
2021,November,44,India,Europe,329,Male,Undergraduate,Arts,Research
2021,August,31,USA,Europe,498,Other,Postgraduate,Medicine,Research
2021,August,34,India,Asia,102,Other,Undergraduate,Science,Employment
2022,August,34,USA,Oceania,378,Male,Undergraduate,Medicine,Employment
2021,February,05,UK,Oceania,130,Male,PhD,Arts,Entrepreneurship
2022,August,32,UK,Europe,243,Other,Undergraduate,Arts,Entrepreneurship
2022,October,43,USA,Asia,465,Female,Postgraduate,Science,Employment
2022,January,02,Canada,Europe,462,Other,PhD,Science,Employment
2022,July,30,UK,Europe,420,Other,Postgraduate,Business,Entrepreneurship
2023,April,16,Canada,Oceania,452,Female,Undergraduate,Engineering,Entrepreneurship
2021,May,18,USA,Asia,490,Male,Undergraduate,Engineering,Entrepreneurship
2023,June,24,UK,North America,181,Male,PhD,Engineering,Research
2023,January,02,Australia,Asia,206,Male,PhD,Science,Employment
2021,December,49,UK,Asia,314,Male,Undergraduate,Medicine,Entrepreneurship
2022,October,42,Australia,Asia,381,Male,PhD,Engineering,Entrepreneurship
2022,June,26,USA,Europe,183,Other,PhD,Medicine,Employment
2023,September,36,Canada,Asia,236,Other,Postgraduate,Business,Employment
2022,August,35,India,Asia,104,Female,Postgraduate,Business,Research
2023,March,09,USA,Asia,438,Other,PhD,Medicine,Research
2021,May,21,Canada,North America,386,Male,PhD,Engineering,Entrepreneurship
2021,August,31,USA,Oceania,182,Female,PhD,Medicine,Entrepreneurship
2021,May,19,Australia,North America,174,Female,PhD,Medicine,Employment
2021,October,42,USA,Asia,357,Other,Postgraduate,Science,Employment
2022,May,18,India,Europe,411,Other,Undergraduate,Engineering,Entrepreneurship
2022,November,44,Australia,Asia,144,Female,Postgraduate,Arts,Entrepreneurship
2023,June,26,UK,Oceania,264,Male,PhD,Arts,Research
2023,January,04,Canada,North America,406,Male,Postgraduate,Business,Entrepreneurship
2021,July,29,USA,North America,465,Male,Postgraduate,Engineering,Entrepreneurship
2021,November,47,Australia,Asia,303,Male,Undergraduate,Science,Employment
2021,February,06,Australia,Asia,394,Female,Postgraduate,Engineering,Entrepreneurship
2021,December,52,India,Oceania,498,Other,Undergraduate,Business,Entrepreneurship
2022,July,26,UK,Europe,100,Female,Undergraduate,Business,Entrepreneurship
2023,March,13,UK,Oceania,382,Other,Postgraduate,Engineering,Entrepreneurship
2023,August,34,UK,Oceania,278,Other,PhD,Science,Research
2023,November,45,India,Asia,498,Female,Undergraduate,Medicine,Employment
2022,April,16,UK,Oceania,305,Male,PhD,Science,Employment
2022,February,05,India,Europe,157,Male,Undergraduate,Business,Research
2022,May,20,USA,Europe,186,Other,Postgraduate,Medicine,Employment
2021,June,23,Canada,Asia,256,Other,PhD,Medicine,Entrepreneurship
2021,May,18,India,North America,52,Female,PhD,Medicine,Employment
2023,March,10,USA,Oceania,212,Other,Undergraduate,Arts,Entrepreneurship
2023,October,41,USA,Asia,94,Male,Postgraduate,Arts,Entrepreneurship
2022,December,48,Canada,Oceania,159,Male,Postgraduate,Medicine,Entrepreneurship
2023,October,40,Australia,Europe,406,Male,PhD,Medicine,Research
2022,June,26,UK,North America,221,Male,PhD,Science,Entrepreneurship
2021,November,48,Australia,Asia,160,Female,Postgraduate,Science,Research
2022,July,27,India,Oceania,177,Other,Undergraduate,Engineering,Employment
2023,March,11,USA,Oceania,352,Female,PhD,Science,Research
2023,May,22,Canada,Asia,448,Female,Postgraduate,Science,Employment
2023,August,32,India,Europe,465,Other,PhD,Engineering,Employment
2021,March,09,UK,North America,497,Other,Postgraduate,Business,Employment
2022,May,18,Canada,North America,67,Male,Undergraduate,Business,Entrepreneurship
2022,April,17,UK,Europe,436,Female,Postgraduate,Arts,Employment
2022,September,38,India,Oceania,233,Other,Postgraduate,Business,Employment
2021,November,48,India,Asia,191,Male,PhD,Business,Entrepreneurship
2022,February,05,India,North America,258,Female,PhD,Science,Entrepreneurship
2021,July,30,India,Europe,226,Female,Undergraduate,Arts,Employment
2021,April,15,USA,Europe,100,Male,Undergraduate,Arts,Research
2022,February,05,USA,Oceania,131,Male,PhD,Business,Entrepreneurship
2021,July,29,Canada,Europe,327,Female,PhD,Business,Entrepreneurship
